68, 1, 1.6959, 0.1592, 10.7753, 8.0879, 1.8552, 18.8632, 20.7184
68, 1, 1.6892, 0.1598, 9.1764, 3.7565, 1.8490, 12.9329, 14.7819
68, 1, 1.7241, 0.1595, 9.0940, 4.0358, 1.8837, 13.1299, 15.0135
68, 1, 1.6935, 0.1593, 9.1206, 3.9387, 1.8528, 13.0593, 14.9121
68, 1, 1.6897, 0.1599, 9.2397, 4.1467, 1.8496, 13.3865, 15.2360
68, 1, 1.6970, 0.1608, 9.3015, 4.7226, 1.8579, 14.0241, 15.8820
68, 1, 1.7412, 0.1602, 9.3188, 4.0219, 1.9014, 13.3407, 15.2421
68, 1, 1.6798, 0.1606, 9.2956, 4.0400, 1.8404, 13.3356, 15.1760
68, 1, 1.6860, 0.1678, 9.2530, 3.4665, 1.8538, 12.7195, 14.5733
68, 1, 1.7123, 0.1607, 9.2532, 4.3841, 1.8730, 13.6373, 15.5103
